row_index,col_index,raw_value
5,1,11810762
5,2,11822583
5,2,11822583
5,3,11819766
5,3,11819766
5,4,12436480
5,4,12436480
5,5,12423394
5,5,12423394
5,6,12481979
5,6,12481979
5,7,12499623
5,7,12499623
6,0,11876150
6,0,11876150
6,1,11860818
6,1,11860818
6,2,11877869
6,2,11877869
6,3,11861469
6,3,11861469
6,4,12492937
6,4,12492937
6,5,12479553
6,5,12479553
6,6,12538978
6,6,12538978
6,7,12557009
6,7,12557009
7,0,11881478
7,0,11881478
7,1,11851396
7,1,11851396
7,2,11875578
7,2,11875578
7,3,11866874
7,3,11866874
7,4,12506167
7,4,12506167
7,5,12492833
7,5,12492833
7,6,12552511
7,6,12552511
7,7,12570631
7,7,12570631
0,0,11297467
0,0,11297467
0,1,11260794
0,1,11260794
0,2,11286732
0,2,11286732
0,3,11255551
0,3,11255551
0,4,11809700
0,4,11809700
0,5,11751267
0,5,11751267
0,6,11759910
0,6,11759910
0,7,11743014
0,7,11743014
1,0,11136515
1,0,11136515
1,1,11068688
1,1,11068688
1,2,11122018
1,2,11122018
1,3,11188544
1,3,11188544
1,4,11822740
1,4,11822740
1,5,11812481
1,5,11812481
1,6,11863563
1,6,11863563
1,7,11879023
1,7,11879023
2,0,11217639
2,0,11217639
2,1,11184805
2,1,11184805
2,2,11219314
2,2,11219314
2,3,11185227
2,3,11185227
2,4,11734810
2,4,11734810
2,5,11723261
2,5,11723261
2,6,11773762
2,6,11773762
2,7,11788851
2,7,11788851
3,0,11220551
3,0,11220551
3,1,11184811
3,1,11184811
3,2,11222157
3,2,11222157
3,3,11188390
3,3,11188390
3,4,11736207
3,4,11736207
3,5,11724636
3,5,11724636
3,6,11774886
3,6,11774886
3,7,11789930
3,7,11789930
4,0,11826122
4,0,11826122
4,1,11794533
4,1,11794533
4,2,11829257
4,2,11829257
4,3,11803049
4,3,11803049
4,4,12448322
4,4,12448322
4,5,12435049
4,5,12435049
4,6,12493920
4,6,12493920
4,7,12511614
4,7,12511614
5,0,11814813
5,0,11814813
5,1,11779189
5,1,11779189
5,2,11816499
5,2,11816499
5,3,11789491
5,3,11789491
5,4,12436386
5,4,12436386
5,5,12422977
5,5,12422977
5,6,12481655
5,6,12481655
5,7,12499284
5,7,12499284
6,0,11856053
6,0,11856053
6,1,11832903
6,1,11832903
6,2,11854785
6,2,11854785
6,3,11815547
6,3,11815547
6,4,12493705
6,4,12493705
6,5,12480366
6,5,12480366
6,6,12539600
6,6,12539600
6,7,12556339
6,7,12556339
7,0,11806248
7,0,11806248
7,1,11711446
7,1,11711446
7,2,11794484
7,2,11794484
7,3,11717802
7,3,11717802
7,4,12506306
7,4,12506306
7,5,12492827
7,5,12492827
7,6,12551814
7,6,12551814
7,7,12569631
7,7,12569631
0,0,11077156
0,0,11077156
0,1,10988475
0,1,10988475
0,2,11284245
0,2,11284245
0,3,11250351
0,3,11250351
0,4,11810400
0,4,11810400
0,5,11799064
0,5,11799064
0,6,11847929
0,6,11847929
0,7,11863532
0,7,11863532
1,0,11282203
1,0,11282203
1,1,11255796
1,1,11255796
1,2,11291115
1,2,11291115
1,3,11261865
1,3,11261865
1,4,11816417
1,4,11816417
1,5,11802635
1,5,11802635
1,6,11848930
1,6,11848930
1,7,11869289
1,7,11869289
2,0,11206743
2,0,11206743
2,1,11138504
2,1,11138504
2,2,11171765
2,2,11171765
2,3,11133795
2,3,11133795
2,4,11729611
2,4,11729611
2,5,11722109
