timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
279.123,339.427711,343.188068,344.056888,351.119595,397.165193,349.569849,350.714103,355.395565
279.542,339.427711,343.174894,348.746741,351.104202,396.792745,349.566757,350.718319,355.410042
279.962,339.425277,347.301458,348.742229,351.106425,398.201933,349.566039,350.706003,355.369442
280.383,339.427658,343.171506,344.042371,351.100701,398.545336,349.566757,350.712716,355.384652
280.802,339.427658,347.293417,348.737936,351.096701,397.521927,349.547598,350.693854,355.359717
281.223,339.425647,347.277336,348.719943,351.085755,396.940960,349.543457,350.683647,355.330431
281.643,339.427711,343.185272,344.058292,351.122151,399.427608,349.587961,350.729027,355.339816
282.063,339.425277,347.284939,344.024078,351.085088,397.071337,349.554002,350.697682,355.338911
282.483,339.425647,343.223829,348.807337,351.157941,399.452576,349.626896,350.769920,355.466203
282.904,339.427658,347.365140,348.806676,351.165444,399.469713,349.630706,350.772694,355.470106
283.323,339.427658,347.371104,348.805300,351.163666,399.447555,349.635015,350.775469,355.469371
283.743,339.427711,343.220441,348.802878,351.152383,397.067554,349.619329,350.762318,355.448726
284.164,339.427711,343.209739,344.079340,351.144547,397.065430,349.610990,350.748945,355.428931
284.584,339.427658,347.367220,344.089703,351.154495,398.557680,349.622588,350.761596,355.446973
285.004,339.425647,343.209309,348.788403,351.141657,399.445413,349.614138,350.756048,355.433908
285.424,339.425647,347.350805,348.794292,351.147381,399.448225,349.616568,350.760931,355.432324
285.844,339.427711,347.349109,348.789668,351.141268,396.821321,349.603921,350.748224,355.421183
286.264,339.427658,347.335759,348.777450,351.132654,396.831996,349.602761,350.746005,355.418695
286.685,339.427711,343.216945,344.087652,351.154328,396.814756,349.621925,350.768866,355.460377
287.104,339.427341,347.360599,348.801007,351.159164,397.019311,349.624465,350.760376,355.450649
287.528,339.427658,347.347249,348.790494,351.145492,399.430419,349.613088,350.755326,355.447312
287.945,339.427711,347.357480,348.799961,351.149438,398.557680,349.625349,350.767700,355.456644
288.364,339.427711,347.359286,348.793962,351.151216,397.009889,349.620158,350.759543,355.455230
288.788,339.425647,347.354033,348.785871,351.148048,397.070540,349.617286,350.757768,355.451384
289.207,339.425277,347.365523,348.804144,351.159164,396.806933,349.627558,350.769199,355.470446
289.626,339.425647,347.365523,348.798915,351.154829,397.863284,349.625515,350.767090,355.470785
290.046,339.427711,343.216246,348.800677,351.150994,397.002989,349.622256,350.762651,355.471860
290.465,339.427711,347.357480,348.795833,351.154106,398.553476,349.621538,350.765259,355.479440
290.886,339.427341,343.217644,348.797209,351.150994,398.437868,349.618280,350.758489,355.482608
291.306,339.425647,347.346592,344.081769,351.148048,399.444409,349.617396,350.754660,355.477007
291.726,339.427341,343.223829,348.809098,351.166834,396.827421,349.632584,350.769920,355.509139
292.145,339.425647,343.216623,348.808163,351.165055,399.460341,349.635346,350.773027,355.513552
292.566,339.425647,347.363444,348.805961,351.165555,397.036564,349.629657,350.775136,355.522547
292.986,339.425965,343.224152,344.099743,351.164388,399.450969,349.636064,350.774193,355.534542
293.406,339.425330,343.234101,344.110053,351.177895,396.847048,349.639267,350.779076,355.554855
293.826,339.427711,343.225873,348.806676,351.167890,398.570958,349.637058,350.781518,355.563512
294.247,339.425647,347.368970,348.808878,351.168724,396.839489,349.638108,350.777689,355.574151
294.667,339.425277,347.365961,348.809924,351.168724,396.847578,349.638826,350.776523,355.588468
295.087,339.425330,347.361255,348.805300,351.164388,397.060254,349.638494,350.775247,355.596900
295.508,339.425647,343.236522,348.815098,351.170780,396.860642,349.641256,350.780463,355.610710
295.927,339.425647,343.234478,348.812346,351.171947,396.851358,349.644128,350.783293,355.623784
296.347,339.425647,343.230390,344.105951,351.170780,398.579500,349.636727,350.777578,355.636349
296.767,339.425330,347.365961,348.812676,351.180340,396.816746,349.648657,350.787234,355.668841
297.187,339.427341,343.240986,344.114534,351.181063,397.091048,349.649154,350.789842,355.683164
297.607,339.427341,343.246848,344.121443,351.185732,396.854077,349.653297,350.779797,355.704395
298.027,339.425647,343.242384,348.823190,351.181063,398.586573,349.648436,350.789120,355.716399
298.447,339.427341,343.243083,344.120742,351.185009,397.050167,349.655396,350.793283,355.735141
298.868,339.427341,343.248569,344.121173,351.192847,396.876027,349.655838,350.794337,355.753318
299.289,339.425647,347.369299,348.819722,351.188623,398.605125,349.656887,350.792617,355.768722
299.708,339.425647,343.254432,344.128407,351.196460,398.430131,349.664345,350.802162,355.794378
300.128,339.427341,343.252711,344.125600,351.197850,396.874436,349.666057,350.802828,355.809218
300.550,339.425647,347.376303,348.822144,351.195293,398.603190,349.664345,350.802162,355.824059
300.968,339.425647,347.370120,348.820438,351.198183,396.893801,349.647608,350.805048,355.849721
301.388,339.425647,347.377780,348.819722,351.195293,399.493011,349.667548,350.806102,355.872156
301.809,339.425647,343.257498,344.135317,351.204632,398.607127,349.677050,350.808544,355.895896
302.229,339.427341,343.258520,348.824897,351.198183,398.610931,349.674288,350.810098,355.915559
